gemeente,naam,geslacht,verwachte datum
Puurs-Sint-Amands,Christel,Vrouwelijk,07/27/2019
Merchtem,Dries,Mannelijk,08/04/2019
Etterbeek,Rachid,Mannelijk,07/31/2019
Antwerpen,Peggy,Vrouwelijk,08/13/2019
Knokke-Heist,Marie,Vrouwelijk,07/27/2019
Verviers,Jamal,Mannelijk,07/27/2019
Westerlo,An,Vrouwelijk,07/24/2019
Sint-Lambrechts-Woluwe,Zacharie,Mannelijk,07/24/2019
Gesves,Alexandre,Mannelijk,08/18/2019
Wuustwezel,Carla,Vrouwelijk,08/05/2019
Wetteren,Piet,Mannelijk,08/01/2019
Antwerpen,Jorge,Mannelijk,07/26/2019
Binche,Rita,Vrouwelijk,08/05/2019
Brussel,Khadija,Vrouwelijk,07/27/2019
Luik,Stéphanie,Vrouwelijk,08/15/2019
Fernelmont,Christine,Vrouwelijk,07/17/2019
Arendonk,Bjorn,Mannelijk,07/18/2019
Lennik,Magali,Vrouwelijk,07/30/2019
Sint-Gillis-Waas,Guy,Mannelijk,08/04/2019
Charleroi,Ashley,Vrouwelijk,08/01/2019
Lokeren,Andy,Mannelijk,07/29/2019
Ham,Rob,Mannelijk,07/30/2019
Maaseik,Josée,Vrouwelijk,08/09/2019
Drogenbos,Laura,Vrouwelijk,07/29/2019
Sint-Pieters-Woluwe,Ana,Vrouwelijk,07/30/2019
Evergem,Mireille,Vrouwelijk,08/12/2019
Nieuwpoort,Vicky,Vrouwelijk,08/01/2019
Gembloux,Cédric,Mannelijk,08/06/2019
Diepenbeek,Els,Vrouwelijk,07/24/2019
Meulebeke,Dries,Mannelijk,09/08/2019
Beersel,Dominique,Vrouwelijk,07/21/2019
Antwerpen,Ahmed,Mannelijk,07/30/2019
Genk,Hubert,Mannelijk,07/26/2019
Kapellen (Antwerpen),Tom,Mannelijk,08/09/2019
Hasselt,Maria,Vrouwelijk,08/01/2019
Quaregnon,Kylian,Mannelijk,07/28/2019
Châtelet,Daniel,Mannelijk,07/28/2019
Brasschaat,Eline,Vrouwelijk,07/30/2019
Melle,Tim,Mannelijk,07/29/2019
Thuin,Thérèse,Vrouwelijk,07/18/2019
Ganshoren,Juliette,Vrouwelijk,08/01/2019
Ciney,Henri,Mannelijk,07/26/2019
Kruibeke,Linda,Vrouwelijk,08/16/2019
Melle,Godelieve,Vrouwelijk,07/24/2019
